0	0	1
2	1	3
4	2	5
6	0	7
8	3	9
10	3	11
12	4	13
14	5	15
16	3	17
18	6	19
20	0	21
22	7	23
24	7	25
26	8	27
28	9	29
30	10	31
32	11	33
34	0	35
28	9	36
37	12	38
39	13	40
41	7	42
43	4	44
45	2	46
16	3	47
8	3	48
49	0	50
51	0	52
53	13	54
55	14	56
57	0	58
57	0	59
60	6	61
10	3	62
63	5	15
64	15	65
8	3	66
16	3	67
68	2	69
70	6	71
72	7	73
74	7	75
76	0	77
78	14	15
79	3	80
81	2	82
16	3	83
84	6	85
86	6	87
88	7	89
90	16	91
92	7	93
94	17	95
96	12	97
98	18	99
100	19	101
102	7	103
28	9	104
105	13	74
106	0	107
108	20	109
110	21	111
112	0	113
114	22	115
116	23	117
118	5	15
39	13	119
51	0	120
121	2	122
123	0	124
125	7	93
126	0	127
128	1	129
130	4	131
132	7	133
134	1	135
28	9	136
137	5	15
138	2	139
140	0	141
142	4	13
143	24	144
145	25	146
147	26	148
149	2	150
151	27	152
92	10	153
79	3	154
155	6	4
156	4	157
158	13	159
160	28	161
162	28	163
49	0	164
165	6	166
4	28	167
114	22	168
34	0	169
170	0	171
172	29	173
174	6	175
68	11	176
177	23	110
178	28	179
180	0	181
182	2	183
10	3	184
185	30	68
186	28	4
45	2	187
61	6	188
178	6	189
190	24	191
61	6	192
193	0	194
195	14	196
197	10	198
199	5	15
200	11	32
16	9	201
202	28	149
203	7	204
140	0	205
28	22	206
207	0	208
32	30	209
210	7	211
212	10	213
214	7	215
216	31	217
218	2	219
220	2	221
222	13	223
224	6	225
226	7	227
228	6	229
230	7	73
231	16	91
232	28	166
233	32	234
235	0	236
237	2	4
65	12	238
239	24	240
170	0	241
8	3	242
243	14	15
244	6	95
16	3	245
246	2	247
248	19	249
250	19	249
251	0	252
10	3	253
254	7	103
16	9	255
256	0	257
10	3	258
8	3	259
260	10	261
262	6	263
264	1	265
266	7	267
268	7	204
10	3	269
112	0	270
271	5	15
10	3	272
273	6	85
274	5	15
275	33	276
277	24	278
8	3	279
280	13	281
10	3	282
188	6	283
247	6	284
285	6	286
287	0	288
289	17	290
251	1	291
292	24	293
294	8	27
10	3	295
296	0	297
298	0	299
300	28	301
235	0	302
303	0	304
305	6	306
85	6	307
10	3	308
309	24	310
311	0	312
313	30	314
315	34	152
316	0	317
318	6	319
16	3	320
321	35	322
323	6	324
41	7	325
326	24	327
328	17	329
311	0	241
330	7	331
16	3	332
333	28	334
207	0	335
336	0	337
68	30	338
8	3	339
340	0	304
341	36	342
343	29	344
79	3	345
346	0	347
348	13	349
138	6	350
16	9	351
352	7	89
92	10	353
51	0	354
349	13	355
356	21	357
358	13	359
360	27	152
0	0	361
