P24941	phosphorylates	Q92766	S36
Q00535	phosphorylates	Q53EL6	S94
P27361	phosphorylates	Q9UQ35	T400
P00519	phosphorylates	O00429	Y266
Q13233	phosphorylates	Q16512	S562
P09619	phosphorylates	Q9UQ35	Y1145
Q9H2X6	phosphorylates	O00257	T497
Q9Y4K4	phosphorylates	Q16890	S149
O14578	phosphorylates	Q9P265	S259
P54646	phosphorylates	O43524	S588
P49674	phosphorylates	P22626	S259
P53350	phosphorylates	Q96BK5	S117
Q92630	phosphorylates	Q8WYP5	S528
P09619	phosphorylates	Q9UIS9	S297
P68400	phosphorylates	Q8N5P1	T32
P49841	phosphorylates	Q9UPN3	S7322
P06493	phosphorylates	O60285	S445
Q16539	phosphorylates	O15504	S106
P53350	phosphorylates	P27348	S45
P78527	phosphorylates	P14859	S85
O14578	phosphorylates	Q8IVT2	T157
P42684	phosphorylates	O96013	T207
P49137	phosphorylates	P30305	S375
Q16539	phosphorylates	Q9Y478	S40
P24941	phosphorylates	O00267	T791
Q15831	phosphorylates	P57059	T182
P31751	phosphorylates	O60331	S555
Q96RR4	phosphorylates	Q15742	S171
Q96RR4	phosphorylates	Q9UHI5	S135
Q13233	phosphorylates	O15446	S243
Q9Y4K4	phosphorylates	Q96JM3	S603
P50750	phosphorylates	Q8N3F8	S486
P33981	phosphorylates	O95644	S282
Q15139	phosphorylates	Q99683	T838
P10721	phosphorylates	P35579	S1943
P50750	phosphorylates	Q86YS7	S662
P49674	phosphorylates	Q5VWQ8	S747
Q15139	phosphorylates	Q9NRA0	S419
P24941	phosphorylates	Q9H707	S86
P53350	phosphorylates	Q7L2Z9	S139
P54646	phosphorylates	Q9UQL6	S498
P12931	phosphorylates	O15455	Y759
P45983	phosphorylates	P54259	S739
P31749	phosphorylates	O60343	S570
P07947	phosphorylates	Q9H2X6	Y361
Q96GD4	phosphorylates	Q8IUC4	T655
P10721	phosphorylates	O14639	S655
Q16512	phosphorylates	Q13177	S141
Q16539	phosphorylates	Q9H1K0	S215
Q9UPE1	phosphorylates	Q9Y6I3	T460
P31751	phosphorylates	Q9H0H5	T249
P49674	phosphorylates	Q7L2J0	S254
P49674	phosphorylates	O15085	S35
Q13464	phosphorylates	Q13029	S739
Q8N4C8	phosphorylates	Q96T58	S1918
Q13233	phosphorylates	Q9Y3T9	S49
P24941	phosphorylates	P10644	S83
O14965	phosphorylates	O14965	S278
O96017	phosphorylates	P16403	S36
P14618	phosphorylates	P40763	Y705
Q16539	phosphorylates	O94854	S25
Q13233	phosphorylates	Q9P1Y6	S867
Q9H2K8	phosphorylates	O76021	S396
Q96RR4	phosphorylates	Q96JM3	S432
Q16512	phosphorylates	Q9NZJ4	S2511
O96013	phosphorylates	O15014	S1055
O00141	phosphorylates	Q9Y2V2	S52
P24941	phosphorylates	P46013	S357
Q9H2K8	phosphorylates	Q99684	S94
Q16539	phosphorylates	P27816	S358
Q16539	phosphorylates	Q9H211	T406
P49674	phosphorylates	Q08999	T417
P53350	phosphorylates	O00267	S671
P68400	phosphorylates	Q9UMD9	S544
Q9BQI3	phosphorylates	Q96T37	S622
P17612	phosphorylates	P09917	S524
P07947	phosphorylates	Q96MG7	S64
O14578	phosphorylates	P42345	S2454
P41743	phosphorylates	Q3ZCM7	S138
P31749	phosphorylates	P29375	T1225
Q05655	phosphorylates	P19429	S24
P53350	phosphorylates	Q9UN36	S350
Q13546	phosphorylates	Q13546	S161
Q13464	phosphorylates	Q8N264	S391
P29317	phosphorylates	P29317	Y575
P42684	phosphorylates	P17931	Y79
P50750	phosphorylates	P84022	S208
P53667	phosphorylates	P78314	S278
O14757	phosphorylates	O43660	S119
Q9UPE1	phosphorylates	P48634	S342
P12931	phosphorylates	P19022	Y820
Q13233	phosphorylates	P11274	S463
P28482	phosphorylates	P10828	S142
Q9H2K8	phosphorylates	Q1MSJ5	S901
P19784	phosphorylates	Q9NQW6	S182
P11309	phosphorylates	Q99801	S185
P33981	phosphorylates	Q86YS7	S295
P31749	phosphorylates	P29375	S1255
P27361	phosphorylates	O75592	T1587
Q16539	phosphorylates	P46019	S729
P49841	phosphorylates	P33076	S373
P45984	phosphorylates	P50616	S152
Q15349	phosphorylates	O00178	S47
Q16539	phosphorylates	P46821	S831
P10721	phosphorylates	P11171	S560
P45983	phosphorylates	O95644	S172
P41743	phosphorylates	Q13469	S255
Q96RR4	phosphorylates	Q9C0D0	S505
P50750	phosphorylates	P84022	S213
Q16539	phosphorylates	Q9UQ35	T1927
P17252	phosphorylates	Q8NER1	S502
P06239	phosphorylates	Q8N1K5	Y353
P51617	phosphorylates	O75179	S2401
P53350	phosphorylates	O00499	S303
O14578	phosphorylates	Q9Y2X3	S351
O14578	phosphorylates	P50895	S600
P52564	phosphorylates	O15264	T180
Q9UQM7	phosphorylates	P01106	S62
P11309	phosphorylates	O60381	S372
P09619	phosphorylates	Q92845	S93
P51617	phosphorylates	Q9UQ35	S1499
Q96RR4	phosphorylates	Q9HCK8	S1978
Q13043	phosphorylates	Q9Y383	S18
Q13233	phosphorylates	O15198	S465
P07948	phosphorylates	P25490	Y8
P42684	phosphorylates	Q6JBY9	S116
P17612	phosphorylates	Q05469	S951
Q07912	phosphorylates	Q96KQ7	S173
Q16512	phosphorylates	Q9H7D0	S1766
P30530	phosphorylates	P06239	Y394
Q9H2K8	phosphorylates	Q86TB9	S278
Q9BXM7	phosphorylates	Q9BXM7	T257
P11802	phosphorylates	P26358	S954
P17612	phosphorylates	Q12778	S153
P06493	phosphorylates	Q96FF9	S21
P24941	phosphorylates	P11171	S712
P09619	phosphorylates	Q3T8J9	S1426
Q16539	phosphorylates	Q9UI10	S130
P45984	phosphorylates	E7ETH6	S87
Q16539	phosphorylates	P41212	S257
Q07912	phosphorylates	P78347	T558
P31749	phosphorylates	Q8NCD3	S486
O95835	phosphorylates	Q9C0I1	S564
P41743	phosphorylates	Q5T7N2	S173
Q16512	phosphorylates	O15553	S208
P51617	phosphorylates	Q9P265	S259
P42345	phosphorylates	P55199	S309
O14578	phosphorylates	O43566	S218
P24941	phosphorylates	Q6PKG0	T303
Q9H2K8	phosphorylates	P30307	S216
Q16539	phosphorylates	O94915	T1959
O00311	phosphorylates	P49736	S108
P49841	phosphorylates	Q00653	S222
Q9UPE1	phosphorylates	P11717	S2409
Q16539	phosphorylates	Q9UMZ2	S1075
P07947	phosphorylates	Q96I24	S569
P78527	phosphorylates	P16403	T146
P24941	phosphorylates	P46013	S1937
