DB00440	DPI	P0ABQ4
DB13949	DPI	P07822
DB00363	DPI	P14416
DB09130	DPI	P06396
DB11348	DPI	Q01668
DB14545	DPI	P08684
DB12332	DPI	Q4U2R8
DB00276	DPI	P02768
DB01033	DPI	Q06278
DB01332	DPI	P02918
DB15566	DPI	P08684
DB13956	DPI	P43681
DB00988	DPI	P46098
DB00316	DPI	P19224
DB00831	DPI	Q9NYX4
DB00333	DPI	P41143
DB01162	DPI	Q9H252
DB09238	DPI	O43497
DB00709	DPI	Q4U2R8
DB00288	DPI	P04083
DB00157	DPI	P53004
DB14002	DPI	O75469
DB06802	DPI	P23219
DB00801	DPI	P18507
DB11148	DPI	Q99712
DB00334	DPI	P24462
DB00363	DPI	P31513
DB14646	DPI	P04150
DB00755	DPI	P02768
DB00999	DPI	P02768
DB15494	DPI	P30872
DB00669	DPI	P08183
DB01009	DPI	P10632
DB09195	DPI	P35348
DB14491	DPI	P02786
DB08864	DPI	P08684
DB02325	DPI	O60942
DB01050	DPI	P35354
DB01205	DPI	P34903
DB09036	DPI	P08684
DB00370	DPI	P05177
DB01151	DPI	P23975
DB00774	DPI	P05023
DB06605	DPI	P05177
DB00812	DPI	Q8TCC7
DB01127	DPI	P08684
DB01043	DPI	Q96FL8
DB12161	DPI	Q05940
DB00459	DPI	P10276
DB09130	DPI	P00387
DB09154	DPI	P53007
DB14533	DPI	P02647
DB00949	DPI	Q14957
DB00081	DPI	P02747
DB09555	DPI	P35367
DB13943	DPI	Q9UNQ0
DB00514	DPI	P30926
DB00321	DPI	P08183
DB01117	DPI	Q02127
DB14006	DPI	Q8NE62
DB01144	DPI	Q9ULX7
DB00359	DPI	P10632
DB06779	DPI	P15692
DB00750	DPI	P35499
DB00855	DPI	P13716
DB00227	DPI	O94956
DB00842	DPI	O60656
DB00687	DPI	P08235
DB00539	DPI	P08684
DB00956	DPI	P41143
DB00281	DPI	Q15858
DB09526	DPI	P14679
DB01426	DPI	P02763
DB03088	DPI	P03950
DB00769	DPI	P04150
DB01068	DPI	P18505
DB04855	DPI	P02768
DB01708	DPI	P03372
DB00491	DPI	P04746
DB09083	DPI	Q9Y3Q4
DB00540	DPI	P18825
DB13946	DPI	Q96FL8
DB00622	DPI	P20309
DB00477	DPI	P02763
DB01277	DPI	P08069
DB01365	DPI	P13945
DB00436	DPI	Q12791
DB00604	DPI	P20813
DB00289	DPI	Q14957
DB01242	DPI	P31645
DB00543	DPI	P18507
DB12010	DPI	P17948
DB00081	DPI	P12314
DB01323	DPI	P08183
DB09371	DPI	P10275
DB13953	DPI	P12104
DB00128	DPI	Q8N142
DB00500	DPI	P48775
DB00297	DPI	P08684
DB05219	DPI	P20813
DB00935	DPI	P08913
DB00345	DPI	Q92887
DB01100	DPI	P05177
DB01124	DPI	Q09428
DB00281	DPI	P05177
DB00434	DPI	P28335
DB08864	DPI	Q9NPD5
DB15444	DPI	P10632
DB00622	DPI	P35368
DB14487	DPI	P09871
DB01183	DPI	P22309
DB00301	DPI	P08684
DB01159	DPI	P48549
DB00966	DPI	P30556
DB00184	DPI	P28329
DB14533	DPI	Q15043
DB12887	DPI	Q92800
DB01235	DPI	Q8TF71
DB05109	DPI	P05181
DB13878	DPI	P08183
DB01224	DPI	P28566
DB00461	DPI	P05177
DB14840	DPI	Q96FL8
DB00324	DPI	P08684
DB11859	DPI	P34903
DB00575	DPI	P20815
DB08906	DPI	P08185
DB09085	DPI	P35499
DB00250	DPI	P20815
DB00648	DPI	P05543
DB00881	DPI	P02768
DB00732	DPI	Q15822
DB11077	DPI	P50225
DB01221	DPI	P30939
DB00772	DPI	P06276
DB00557	DPI	Q12809
DB01593	DPI	P25713
DB12010	DPI	O00519
DB00448	DPI	Q16678
DB01033	DPI	P47989
DB11760	DPI	Q9UNQ0
DB00872	DPI	P08183
DB00197	DPI	P08684
DB00131	DPI	P49773
DB01138	DPI	P33527
DB00186	DPI	P54855
DB15035	DPI	P06239
DB00715	DPI	O95264
DB01009	DPI	P35354
DB00448	DPI	P10635
DB14501	DPI	Q9BY41
DB00686	DPI	P09038
DB01589	DPI	Q99928
DB06605	DPI	P20815
DB01194	DPI	P07451
DB01239	DPI	P08173
DB00477	DPI	P05181
DB14517	DPI	P06870
DB00578	DPI	P0AD65
DB00787	DPI	P02768
DB06144	DPI	P35348
DB00308	DPI	Q02641
DB00398	DPI	P09619
DB00515	DPI	P09211
DB09130	DPI	Q99497
DB00370	DPI	P18089
DB00674	DPI	P17787
DB00945	DPI	P54646
DB14481	DPI	Q9P0X4
DB00349	DPI	P33261
DB01274	DPI	P10635
DB00155	DPI	P35228
DB06271	DPI	P01008
DB01223	DPI	Q13946
DB00623	DPI	P14416
DB00313	DPI	Q15858
DB04832	DPI	P31645
DB00273	DPI	Q08289
DB11093	DPI	P80303
DB00188	DPI	P08183
DB01007	DPI	P05181
DB00558	DPI	Q9Y3R4
DB13928	DPI	P27487
DB00439	DPI	Q9UNQ0
DB11901	DPI	P10275
DB00945	DPI	Q8TD08
DB00157	DPI	Q02338
DB01212	DPI	Q8TCC7
DB01238	DPI	P08684
DB00755	DPI	P24462
DB00157	DPI	Q06278
DB11590	DPI	Q14643
DB00163	DPI	P78417
DB00586	DPI	O15439
DB00126	DPI	Q96Q83
DB00503	DPI	P08684
DB00358	DPI	P11511
DB01329	DPI	P24228
DB09130	DPI	P08697
DB14481	DPI	Q75N90
