DB04838	increase_hyperkalemia	DB00580
DB14063	increase_hyperkalemia	DB13977
DB04796	increase_hypokalemia	DB00524
DB13166	increase_hyperkalemia	DB11153
DB09230	increase_hyperkalemia	DB00712
DB04812	increase_hyperkalemia	DB00178
DB09201	increase_hypoglycemia	DB01175
DB00966	increase_hyperkalemia	DB00784
DB08382	increase_hypoglycemia	DB00472
DB09080	increase_hypokalemia	DB00741
DB01109	increase_hyperkalemia	DB00195
DB09022	increase_hypoglycemia	DB00805
DB06335	increase_hypoglycemia	DB01244
DB06127	increase_hypoglycemia	DB00472
DB14209	increase_hyperkalemia	DB13317
DB14539	increase_hypokalemia	DB00524
DB09449	increase_hyperkalemia	DB04842
DB12221	increase_hyperkalemia	DB00159
DB05115	increase_hypoglycemia	DB01276
DB08971	increase_hyperglycemia	DB01700
DB04878	increase_hypoglycemia	DB00082
DB11898	increase_hypoglycemia	DB00568
DB12417	increase_hypoglycemia	DB00805
DB09240	increase_hypoglycemia	DB01382
DB11079	increase_hypoglycemia	DB00738
DB13928	increase_hyperglycemia	DB01130
DB11960	increase_hyperkalemia	DB00440
DB15217	increase_hyperglycemia	DB00635
DB13530	increase_hyperkalemia	DB00195
DB11529	increase_hypokalemia	DB00397
DB14210	increase_hyperkalemia	DB00461
DB13728	increase_hypokalemia	DB01001
DB01424	increase_hyperkalemia	DB00519
DB09418	increase_hyperkalemia	DB00177
DB14208	increase_hyperkalemia	DB00678
DB13003	increase_hyperglycemia	DB00284
DB01420	increase_hypoglycemia	DB01277
DB13314	increase_hyperkalemia	DB00178
DB07615	increase_hypoglycemia	DB00414
DB13364	increase_hyperkalemia	DB08822
DB08951	increase_hyperkalemia	DB00202
DB01261	increase_hypoglycemia	DB00280
DB14938	increase_hyperkalemia	DB00790
DB09090	increase_hyperkalemia	DB00586
DB12092	increase_hypoglycemia	DB11568
DB14498	increase_hyperkalemia	DB13312
DB13961	increase_hypoglycemia	DB04830
DB12923	increase_hyperkalemia	DB00712
DB13446	increase_hyperglycemia	DB00896
DB09200	increase_hypoglycemia	DB08804
DB14492	increase_hyperkalemia	DB00761
DB13223	increase_hyperglycemia	DB08962
DB09216	increase_hyperkalemia	DB00202
DB01149	increase_hypoglycemia	DB00331
DB11783	increase_hyperkalemia	DB00761
DB09378	increase_hypokalemia	DB00310
DB00983	increase_hypokalemia	DB00232
DB01124	increase_hypoglycemia	DB00215
DB01283	increase_hyponatremia	DB00035
DB09232	increase_hypoglycemia	DB00046
DB13537	increase_hypokalemia	DB01021
DB06763	increase_hyperkalemia	DB04817
DB13411	decrease_hypoglycemia	DB08962
DB09232	increase_hypoglycemia	DB01307
DB09253	increase_hypoglycemia	DB08382
DB15217	increase_hypoglycemia	DB01124
DB09252	increase_hypoglycemia	DB00412
DB08382	increase_hypoglycemia	DB01294
DB15217	increase_hypoglycemia	DB05885
DB11698	increase_hypoglycemia	DB01120
